run_name,method,bundle_key,env_name,env_display,model_bundle_name,model_display,model_id,num_examples,examples_relpath,sentences_relpath,selected_examples_relpath,out_dir_relpath,jsonl_relpath,n_samples,temperature,top_p,repetition_penalty,max_new_tokens,mode,text_field,base_seed,coarse_iters,refinement_iters,min_valid,min_step_size,min_spacing,gpu_memory_utilization,tensor_parallel_size
localization_fulltrace_vs_adaptive_rebuttal_v1,full,advisor_audit__DeepSeek-R1-Distill-Llama-8B,advisor_audit,AdvisorAudit,DeepSeek-R1-Distill-Llama-8B,Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,10,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Llama-8B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Llama-8B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Llama-8B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/advisor_audit__DeepSeek-R1-Distill-Llama-8B/localization,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/advisor_audit__DeepSeek-R1-Distill-Llama-8B/full.jsonl,100,0.7,0.9,1.1,10000,prefix,action_reasoning,1234,8,8,3,1,1,0.9,1
localization_fulltrace_vs_adaptive_rebuttal_v1,full,advisor_audit__DeepSeek-R1-Distill-Qwen-14B,advisor_audit,AdvisorAudit,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,10,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-14B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-14B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-14B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/advisor_audit__DeepSeek-R1-Distill-Qwen-14B/localization,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/advisor_audit__DeepSeek-R1-Distill-Qwen-14B/full.jsonl,100,0.7,0.9,1.1,10000,prefix,action_reasoning,1234,8,8,3,1,1,0.9,1
localization_fulltrace_vs_adaptive_rebuttal_v1,full,advisor_audit__DeepSeek-R1-Distill-Qwen-7B,advisor_audit,AdvisorAudit,DeepSeek-R1-Distill-Qwen-7B,Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,10,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-7B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-7B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-7B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/advisor_audit__DeepSeek-R1-Distill-Qwen-7B/localization,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/advisor_audit__DeepSeek-R1-Distill-Qwen-7B/full.jsonl,100,0.7,0.9,1.1,10000,prefix,action_reasoning,1234,8,8,3,1,1,0.9,1
localization_fulltrace_vs_adaptive_rebuttal_v1,full,advisor_audit__gpt-oss-20b,advisor_audit,AdvisorAudit,gpt-oss-20b,GPT-OSS-20B,openai/gpt-oss-20b,10,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__gpt-oss-20b/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__gpt-oss-20b/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__gpt-oss-20b/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/advisor_audit__gpt-oss-20b/localization,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/advisor_audit__gpt-oss-20b/full.jsonl,100,0.7,0.9,1.1,10000,prefix,action_reasoning,1234,8,8,3,1,1,0.9,1
localization_fulltrace_vs_adaptive_rebuttal_v1,full,bs__DeepSeek-R1-Distill-Llama-8B,bs,BS,DeepSeek-R1-Distill-Llama-8B,Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,10,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Llama-8B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Llama-8B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Llama-8B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/bs__DeepSeek-R1-Distill-Llama-8B/localization,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/bs__DeepSeek-R1-Distill-Llama-8B/full.jsonl,100,0.7,0.9,1.1,10000,prefix,action_reasoning,1234,8,8,3,1,1,0.9,1
localization_fulltrace_vs_adaptive_rebuttal_v1,full,bs__DeepSeek-R1-Distill-Qwen-14B,bs,BS,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,10,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-14B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-14B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-14B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/bs__DeepSeek-R1-Distill-Qwen-14B/localization,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/bs__DeepSeek-R1-Distill-Qwen-14B/full.jsonl,100,0.7,0.9,1.1,10000,prefix,action_reasoning,1234,8,8,3,1,1,0.9,1
localization_fulltrace_vs_adaptive_rebuttal_v1,full,bs__DeepSeek-R1-Distill-Qwen-7B,bs,BS,DeepSeek-R1-Distill-Qwen-7B,Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,10,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-7B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-7B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-7B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/bs__DeepSeek-R1-Distill-Qwen-7B/localization,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/bs__DeepSeek-R1-Distill-Qwen-7B/full.jsonl,100,0.7,0.9,1.1,10000,prefix,action_reasoning,1234,8,8,3,1,1,0.9,1
localization_fulltrace_vs_adaptive_rebuttal_v1,full,bs__gpt-oss-20b,bs,BS,gpt-oss-20b,GPT-OSS-20B,openai/gpt-oss-20b,10,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__gpt-oss-20b/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__gpt-oss-20b/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__gpt-oss-20b/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/bs__gpt-oss-20b/localization,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/bs__gpt-oss-20b/full.jsonl,100,0.7,0.9,1.1,10000,prefix,action_reasoning,1234,8,8,3,1,1,0.9,1
localization_fulltrace_vs_adaptive_rebuttal_v1,full,car_sales__DeepSeek-R1-Distill-Llama-8B,car_sales,CarSales,DeepSeek-R1-Distill-Llama-8B,Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,10,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Llama-8B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Llama-8B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Llama-8B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/car_sales__DeepSeek-R1-Distill-Llama-8B/localization,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/car_sales__DeepSeek-R1-Distill-Llama-8B/full.jsonl,100,0.7,0.9,1.1,10000,prefix,action_reasoning,1234,8,8,3,1,1,0.9,1
localization_fulltrace_vs_adaptive_rebuttal_v1,full,car_sales__DeepSeek-R1-Distill-Qwen-14B,car_sales,CarSales,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,10,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Qwen-14B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Qwen-14B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Qwen-14B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/car_sales__DeepSeek-R1-Distill-Qwen-14B/localization,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/runs/full/car_sales__DeepSeek-R1-Distill-Qwen-14B/full.jsonl,100,0.7,0.9,1.1,10000,prefix,action_reasoning,1234,8,8,3,1,1,0.9,1
