example_key,example_id,env_name,prefix_sentence_idx,prefix_sentence_number,prefix_sentence_text,temperature,top_p,repetition_penalty,combo_key,n_generations,avg_reasoning_tokens,avg_first_sentence_tokens,avg_first_sentence_similarity,avg_first_sentence_embedding_similarity,avg_first_sentence_lexical_similarity,unique_first_sentence_fraction,nonempty_first_sentence_count
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,4,5,"The audit probability is 25%, which isn't too high, so the advisor might not lose much if the investor goes against them.",0.5,0.5,1.1,temp_0.5__top_p_0.5__rep_1.1,100,170.74000549316406,23.65999984741211,0.8275764584541321,0.8275764584541321,0.7889724969863892,0.04,100
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,4,5,"The audit probability is 25%, which isn't too high, so the advisor might not lose much if the investor goes against them.",0.5,0.5,1.2,temp_0.5__top_p_0.5__rep_1.2,100,162.0800018310547,23.030000686645508,0.7551980018615723,0.7551980018615723,0.6948835253715515,0.15,100
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,4,5,"The audit probability is 25%, which isn't too high, so the advisor might not lose much if the investor goes against them.",0.5,0.7,1.1,temp_0.5__top_p_0.7__rep_1.1,100,173.0,23.6299991607666,0.5074084401130676,0.5074084401130676,0.3284830152988434,0.59,100
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,4,5,"The audit probability is 25%, which isn't too high, so the advisor might not lose much if the investor goes against them.",0.5,0.7,1.2,temp_0.5__top_p_0.7__rep_1.2,100,172.7899932861328,26.84000015258789,0.4832533299922943,0.4832533299922943,0.3320506513118744,0.77,100
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,4,5,"The audit probability is 25%, which isn't too high, so the advisor might not lose much if the investor goes against them.",0.5,0.9,1.1,temp_0.5__top_p_0.9__rep_1.1,100,178.02999877929688,23.34000015258789,0.4611799716949463,0.4611799716949463,0.28583183884620667,0.91,100
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,4,5,"The audit probability is 25%, which isn't too high, so the advisor might not lose much if the investor goes against them.",0.5,0.9,1.2,temp_0.5__top_p_0.9__rep_1.2,100,173.5399932861328,26.270000457763672,0.4608782231807709,0.4608782231807709,0.2913564443588257,0.91,100
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,4,5,"The audit probability is 25%, which isn't too high, so the advisor might not lose much if the investor goes against them.",0.7,0.5,1.1,temp_0.7__top_p_0.5__rep_1.1,100,168.05999755859375,21.510000228881836,0.5380046367645264,0.5380046367645264,0.35814303159713745,0.31,100
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,4,5,"The audit probability is 25%, which isn't too high, so the advisor might not lose much if the investor goes against them.",0.7,0.5,1.2,temp_0.7__top_p_0.5__rep_1.2,100,179.5800018310547,25.40999984741211,0.5304202437400818,0.5304202437400818,0.3803880214691162,0.46,100
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,4,5,"The audit probability is 25%, which isn't too high, so the advisor might not lose much if the investor goes against them.",0.7,0.7,1.1,temp_0.7__top_p_0.7__rep_1.1,100,179.94000244140625,23.510000228881836,0.4671412408351898,0.4671412408351898,0.2951011061668396,0.71,100
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,4,5,"The audit probability is 25%, which isn't too high, so the advisor might not lose much if the investor goes against them.",0.7,0.7,1.2,temp_0.7__top_p_0.7__rep_1.2,100,161.75,25.68000030517578,0.44456955790519714,0.44456955790519714,0.29309338331222534,0.93,100
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,4,5,"The audit probability is 25%, which isn't too high, so the advisor might not lose much if the investor goes against them.",0.7,0.9,1.1,temp_0.7__top_p_0.9__rep_1.1,100,174.58999633789062,23.809999465942383,0.4337640106678009,0.4337640106678009,0.24460414052009583,0.99,100
